epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,384.229,0.41876,0.14281,0.04897,0.29429,0.87069,0.99966,1,0.995,0.94308,0.99966,1,0.995,0.99486,0.35928,0.04525,0.00839,0.21296,0.79201,0.0017228,0.0017228,0.0017228
30,397.519,0.40707,0.15318,0.04777,0.28418,0.86405,0.99924,1,0.995,0.94238,0.99924,1,0.995,0.995,0.34807,0.0345,0.00442,0.21636,0.78843,0.0017129,0.0017129,0.0017129
31,410.952,0.39929,0.10443,0.04309,0.285,0.86372,0.99977,1,0.995,0.94335,0.99977,1,0.995,0.995,0.33579,0.04078,0.01566,0.20523,0.78358,0.001703,0.001703,0.001703
32,424.342,0.4034,0.12337,0.04587,0.27362,0.85947,0.99979,1,0.995,0.94885,0.99979,1,0.995,0.99496,0.32837,0.03434,0.0053,0.19996,0.77917,0.0016931,0.0016931,0.0016931
33,437.708,0.41023,0.1005,0.04004,0.27916,0.86484,0.99979,1,0.995,0.93379,0.99979,1,0.995,0.995,0.36596,0.02807,0.00981,0.20928,0.79116,0.0016832,0.0016832,0.0016832
34,451.225,0.4032,0.10374,0.04358,0.2732,0.86011,0.99982,1,0.995,0.94546,0.99982,1,0.995,0.99498,0.33885,0.02859,0.00364,0.20107,0.78316,0.0016733,0.0016733,0.0016733
35,464.732,0.39822,0.1023,0.03924,0.27049,0.85645,0.9996,1,0.995,0.94274,0.9996,1,0.995,0.99491,0.34563,0.03088,0.00603,0.20999,0.78331,0.0016634,0.0016634,0.0016634
36,478.046,0.40166,0.10425,0.03966,0.27521,0.8638,0.99977,1,0.995,0.94048,0.99977,1,0.995,0.99499,0.35473,0.02889,0.00187,0.20609,0.78935,0.0016535,0.0016535,0.0016535
37,491.526,0.39923,0.10726,0.04363,0.27908,0.86321,0.99906,1,0.995,0.94671,0.99906,1,0.995,0.995,0.33616,0.02821,0.00238,0.20187,0.78387,0.0016436,0.0016436,0.0016436
38,505.123,0.38841,0.08672,0.03872,0.26666,0.85688,0.99983,1,0.995,0.95148,0.99983,1,0.995,0.995,0.32834,0.03181,0.00546,0.19712,0.77831,0.0016337,0.0016337,0.0016337
39,518.509,0.38721,0.08957,0.03642,0.26486,0.85662,0.99981,1,0.995,0.94691,0.99981,1,0.995,0.99455,0.33392,0.03595,0.00339,0.19588,0.78098,0.0016238,0.0016238,0.0016238
40,531.823,0.39404,0.10776,0.04086,0.26875,0.8559,0.9998,1,0.995,0.94664,0.9998,1,0.995,0.995,0.33843,0.02471,0.00518,0.2021,0.78316,0.0016139,0.0016139,0.0016139
41,545.298,0.3962,0.10153,0.04155,0.27085,0.85917,0.99983,1,0.995,0.94584,0.99983,1,0.995,0.995,0.34337,0.0292,0.00499,0.20484,0.78567,0.001604,0.001604,0.001604
42,558.578,0.38952,0.09706,0.03722,0.27658,0.85827,0.99977,1,0.995,0.94121,0.99977,1,0.995,0.995,0.33442,0.03409,0.00246,0.20182,0.78077,0.0015941,0.0015941,0.0015941
43,571.937,0.37989,0.07816,0.03167,0.2632,0.85323,0.99983,1,0.995,0.95438,0.99983,1,0.995,0.99498,0.32276,0.02442,0.00311,0.19027,0.77791,0.0015842,0.0015842,0.0015842
44,585.629,0.38196,0.09497,0.03923,0.25946,0.85237,0.99983,1,0.995,0.93909,0.99983,1,0.995,0.995,0.35508,0.02454,0.01602,0.19895,0.78706,0.0015743,0.0015743,0.0015743
45,598.86,0.38388,0.12139,0.04271,0.27045,0.85751,0.99984,1,0.995,0.95168,0.99984,1,0.995,0.9949,0.32995,0.03392,0.00287,0.18994,0.7821,0.0015644,0.0015644,0.0015644
46,612.113,0.38917,0.10915,0.04476,0.26524,0.85945,0.99974,1,0.995,0.94858,0.99974,1,0.995,0.9946,0.34037,0.02925,0.00535,0.19145,0.78505,0.0015545,0.0015545,0.0015545
47,625.778,0.38519,0.08858,0.03643,0.26203,0.85505,0.99934,1,0.995,0.94445,0.99934,1,0.995,0.99493,0.33324,0.02805,0.00463,0.20422,0.7819,0.0015446,0.0015446,0.0015446
48,639.091,0.38593,0.08524,0.03785,0.27005,0.85891,0.99982,1,0.995,0.94711,0.99982,1,0.995,0.99459,0.33648,0.03101,0.00663,0.19852,0.78191,0.0015347,0.0015347,0.0015347
49,652.356,0.38651,0.09974,0.03582,0.26833,0.85571,0.9998,1,0.995,0.94473,0.9998,1,0.995,0.995,0.34001,0.02557,0.00356,0.19276,0.78315,0.0015248,0.0015248,0.0015248
50,665.987,0.38743,0.09671,0.03553,0.26482,0.85824,0.99981,1,0.995,0.95121,0.99981,1,0.995,0.99492,0.3308,0.02713,0.00445,0.19486,0.78361,0.0015149,0.0015149,0.0015149
51,679.224,0.38757,0.10072,0.03408,0.26521,0.85692,0.99982,1,0.995,0.94807,0.99982,1,0.995,0.995,0.33111,0.0317,0.00515,0.19397,0.78162,0.001505,0.001505,0.001505
52,692.347,0.38199,0.08278,0.03657,0.26242,0.8588,0.99978,1,0.995,0.9493,0.99978,1,0.995,0.995,0.32262,0.02886,0.00816,0.19207,0.78037,0.0014951,0.0014951,0.0014951
53,705.96,0.37668,0.09666,0.04076,0.26193,0.85136,0.9998,1,0.995,0.95012,0.9998,1,0.995,0.995,0.32869,0.02529,0.00604,0.19063,0.77734,0.0014852,0.0014852,0.0014852
54,719.262,0.38082,0.09631,0.03715,0.26286,0.85552,0.9998,1,0.995,0.94949,0.9998,1,0.995,0.995,0.33052,0.02704,0.00936,0.1944,0.783,0.0014753,0.0014753,0.0014753
55,732.437,0.38296,0.08165,0.03006,0.25774,0.85444,0.99978,1,0.995,0.95295,0.99978,1,0.995,0.995,0.3182,0.02592,0.00767,0.18508,0.7779,0.0014654,0.0014654,0.0014654
56,746.088,0.37818,0.07964,0.03499,0.25562,0.85649,0.99935,1,0.995,0.94742,0.99935,1,0.995,0.99492,0.33613,0.02912,0.00411,0.19429,0.77954,0.0014555,0.0014555,0.0014555
57,759.344,0.36987,0.08611,0.0346,0.25363,0.84901,0.99982,1,0.995,0.94593,0.99982,1,0.995,0.99497,0.33287,0.02333,0.00515,0.20074,0.7821,0.0014456,0.0014456,0.0014456
58,772.516,0.37579,0.09375,0.03787,0.25244,0.8561,0.99983,1,0.995,0.9425,0.99983,1,0.995,0.995,0.34707,0.02933,0.00536,0.19832,0.78863,0.0014357,0.0014357,0.0014357
59,786.263,0.37757,0.0733,0.03356,0.26105,0.85807,0.99971,1,0.995,0.95321,0.99971,1,0.995,0.995,0.32518,0.02635,0.00915,0.1874,0.78086,0.0014258,0.0014258,0.0014258
60,799.791,0.38743,0.08587,0.03374,0.26042,0.85392,0.99982,1,0.995,0.94676,0.99982,1,0.995,0.995,0.33146,0.02261,0.0081,0.1889,0.78604,0.0014159,0.0014159,0.0014159
61,812.979,0.37427,0.07759,0.03403,0.25287,0.85421,0.99982,1,0.995,0.94785,0.99982,1,0.995,0.995,0.33125,0.01974,0.00272,0.18483,0.78449,0.001406,0.001406,0.001406
62,826.546,0.37154,0.06926,0.03352,0.25051,0.85171,0.99983,1,0.995,0.95114,0.99983,1,0.995,0.995,0.32533,0.02394,0.01096,0.18353,0.78253,0.0013961,0.0013961,0.0013961
63,839.945,0.37244,0.08,0.03289,0.25373,0.8507,0.99969,1,0.995,0.95484,0.99969,1,0.995,0.99482,0.31744,0.02432,0.01805,0.18339,0.77984,0.0013862,0.0013862,0.0013862
64,853.221,0.36886,0.06538,0.03082,0.25465,0.85273,0.99982,1,0.995,0.95084,0.99982,1,0.995,0.995,0.31903,0.02342,0.01394,0.18919,0.77849,0.0013763,0.0013763,0.0013763
65,866.785,0.36805,0.06772,0.034,0.25115,0.85067,0.99967,1,0.995,0.94987,0.99967,1,0.995,0.995,0.32866,0.02251,0.00497,0.18322,0.77857,0.0013664,0.0013664,0.0013664
66,880.136,0.37195,0.06945,0.03178,0.25248,0.85212,0.99983,1,0.995,0.95521,0.99983,1,0.995,0.99497,0.31782,0.02237,0.00723,0.18178,0.77557,0.0013565,0.0013565,0.0013565
67,893.315,0.35965,0.06079,0.02939,0.2429,0.84623,0.99981,1,0.995,0.95055,0.99981,1,0.995,0.995,0.32383,0.02261,0.00642,0.18137,0.77755,0.0013466,0.0013466,0.0013466
68,906.829,0.36757,0.06544,0.03032,0.25341,0.85167,0.99983,1,0.995,0.95341,0.99983,1,0.995,0.99492,0.3197,0.02175,0.00693,0.18395,0.77518,0.0013367,0.0013367,0.0013367
69,920.21,0.35983,0.06867,0.02585,0.239,0.84711,0.99978,1,0.995,0.95185,0.99978,1,0.995,0.995,0.32285,0.02178,0.00586,0.18063,0.77747,0.0013268,0.0013268,0.0013268
70,933.527,0.35995,0.0656,0.02914,0.24359,0.84515,0.99981,1,0.995,0.95951,0.99981,1,0.995,0.995,0.30846,0.01892,0.00169,0.18017,0.77356,0.0013169,0.0013169,0.0013169
71,946.945,0.3606,0.05824,0.02967,0.24498,0.84793,0.99984,1,0.995,0.95408,0.99984,1,0.995,0.99479,0.31816,0.01916,0.01261,0.17951,0.77826,0.001307,0.001307,0.001307
72,960.477,0.36596,0.06656,0.02699,0.24698,0.84775,0.99983,1,0.995,0.94804,0.99983,1,0.995,0.99453,0.32745,0.0215,0.00859,0.18168,0.78016,0.0012971,0.0012971,0.0012971
73,973.667,0.35676,0.06602,0.03249,0.24518,0.84896,0.99955,1,0.995,0.95071,0.99955,1,0.995,0.99454,0.32123,0.02391,0.00565,0.18117,0.77963,0.0012872,0.0012872,0.0012872
74,987.098,0.36295,0.06406,0.02872,0.2436,0.85282,0.99981,1,0.995,0.94987,0.99981,1,0.995,0.995,0.32759,0.02031,0.01,0.17971,0.77892,0.0012773,0.0012773,0.0012773
75,1000.63,0.36328,0.05924,0.03248,0.247,0.84369,0.9998,1,0.995,0.95153,0.9998,1,0.995,0.995,0.32336,0.02365,0.01122,0.18381,0.77951,0.0012674,0.0012674,0.0012674
76,1013.82,0.36066,0.06451,0.03258,0.24625,0.84651,0.99984,1,0.995,0.95072,0.99984,1,0.995,0.995,0.32063,0.01951,0.00905,0.17507,0.77886,0.0012575,0.0012575,0.0012575
77,1027.21,0.36198,0.06207,0.02884,0.24082,0.84675,0.99981,1,0.995,0.95343,0.99981,1,0.995,0.995,0.31836,0.0193,0.0092,0.17607,0.77761,0.0012476,0.0012476,0.0012476
78,1040.69,0.35449,0.06144,0.03032,0.24507,0.84957,0.99979,1,0.995,0.95278,0.99979,1,0.995,0.995,0.32136,0.01878,0.02234,0.17886,0.77588,0.0012377,0.0012377,0.0012377
79,1054.09,0.35616,0.06268,0.02857,0.24318,0.84932,0.99981,1,0.995,0.95194,0.99981,1,0.995,0.99497,0.32478,0.02423,0.00887,0.18351,0.77891,0.0012278,0.0012278,0.0012278
80,1067.53,0.35369,0.05716,0.02924,0.2422,0.84729,0.99982,1,0.995,0.9552,0.99982,1,0.995,0.995,0.30882,0.02194,0.00809,0.17523,0.77467,0.0012179,0.0012179,0.0012179
81,1081.01,0.35577,0.06486,0.03178,0.23939,0.84903,0.99982,1,0.995,0.95193,0.99982,1,0.995,0.995,0.31701,0.01811,0.00313,0.17679,0.77927,0.001208,0.001208,0.001208
82,1094.46,0.35809,0.05463,0.0281,0.24086,0.85222,0.99983,1,0.995,0.95086,0.99983,1,0.995,0.995,0.30797,0.02015,0.01118,0.17368,0.77392,0.0011981,0.0011981,0.0011981
83,1107.76,0.35353,0.06077,0.02806,0.23875,0.84665,0.99981,1,0.995,0.95456,0.99981,1,0.995,0.995,0.31512,0.01803,0.00233,0.17269,0.77753,0.0011882,0.0011882,0.0011882
84,1121.27,0.35569,0.07254,0.03204,0.23625,0.84958,0.99981,1,0.995,0.95927,0.99981,1,0.995,0.995,0.30686,0.02144,0.00352,0.17004,0.77606,0.0011783,0.0011783,0.0011783
85,1134.85,0.3522,0.08267,0.03045,0.23276,0.8429,0.99983,1,0.995,0.95488,0.99983,1,0.995,0.995,0.31229,0.01917,0.01049,0.17269,0.77632,0.0011684,0.0011684,0.0011684
86,1148.08,0.35291,0.05814,0.03066,0.23424,0.8502,0.99979,1,0.995,0.95298,0.99979,1,0.995,0.99491,0.32037,0.01727,0.00338,0.17146,0.77851,0.0011585,0.0011585,0.0011585
87,1161.52,0.35282,0.06191,0.03116,0.24146,0.84512,0.99982,1,0.995,0.95735,0.99982,1,0.995,0.995,0.31953,0.01788,0.00648,0.1771,0.77622,0.0011486,0.0011486,0.0011486
88,1174.92,0.34611,0.05193,0.02644,0.23449,0.84465,0.99981,1,0.995,0.95287,0.99981,1,0.995,0.995,0.30739,0.0168,0.0029,0.16988,0.7747,0.0011387,0.0011387,0.0011387
