epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2167,1.1746,3.92935,0.66156,1.4226,1.35607,0.93857,0.97753,0.98616,0.83824,0.92239,0.96067,0.95199,0.43299,0.62559,1.69134,0.46998,0.78303,0.89704,0.000655367,0.000655367,0.000655367
2,23.6676,0.75265,1.35803,0.57489,0.56009,0.98938,0.00522,0.01124,0.00138,0.00051,0.00537,0.07584,0.00214,0.00066,4.17853,5.68961,0.67723,161.288,4.26634,0.00130895,0.00130895,0.00130895
3,35.2316,0.7718,1.1904,0.53201,0.55902,0.9871,0.00782,0.08146,0.00336,0.00143,0.00582,0.06461,0.0015,0.00062,nan,nan,nan,nan,nan,0.00194932,0.00194932,0.00194932
4,46.6577,0.77357,1.03407,0.50904,0.55394,0.98989,0.96091,0.98596,0.9917,0.84047,0.65303,0.66292,0.54487,0.37164,0.64583,3.32356,0.23814,0.62991,0.90029,0.0019406,0.0019406,0.0019406
5,58.0935,0.73718,0.88045,0.47578,0.53234,0.97097,0.83451,0.7809,0.89175,0.75731,0.83751,0.78371,0.88208,0.73016,0.64179,0.62852,0.22563,1.53007,0.92427,0.0019208,0.0019208,0.0019208
6,69.6015,0.65528,0.68912,0.43489,0.48149,0.94759,0.98878,0.99719,0.99494,0.86879,0.98878,0.99719,0.99494,0.95369,0.55594,0.23694,0.10627,0.46113,0.86749,0.001901,0.001901,0.001901
7,81.2794,0.63455,0.59604,0.39306,0.45884,0.94208,0.95688,0.98034,0.98812,0.85268,0.95963,0.98315,0.98823,0.95629,0.56371,0.25137,0.08112,1.01626,0.87964,0.0018812,0.0018812,0.0018812
8,92.8757,0.6229,0.67733,0.34772,0.44521,0.93876,0.99255,0.99438,0.99426,0.85479,0.67392,0.67416,0.56824,0.46279,0.59296,3.32715,0.08952,0.42566,0.87654,0.0018614,0.0018614,0.0018614
9,104.81,0.63295,0.58473,0.30881,0.45492,0.93496,0.98113,0.99719,0.9942,0.87976,0.84462,0.85674,0.78534,0.73614,0.52868,1.54473,0.06075,0.39335,0.84392,0.0018416,0.0018416,0.0018416
10,116.712,0.5822,0.54329,0.27505,0.4277,0.92496,0.99401,1,0.99444,0.88665,0.99401,1,0.99444,0.9738,0.52171,0.24881,0.064,0.36043,0.85747,0.0018218,0.0018218,0.0018218
11,128.254,0.57313,0.46064,0.23058,0.41268,0.91651,0.9932,1,0.99447,0.90138,0.99335,1,0.995,0.99186,0.46492,0.14883,0.04177,0.33185,0.82722,0.001802,0.001802,0.001802
12,140.245,0.56395,0.42098,0.20461,0.40089,0.91089,0.99657,1,0.99419,0.9113,0.99657,1,0.99419,0.98789,0.44648,0.18063,0.02462,0.29994,0.81483,0.0017822,0.0017822,0.0017822
13,151.981,0.55537,0.40045,0.18706,0.39819,0.90791,0.99594,1,0.995,0.90309,0.99594,1,0.995,0.99286,0.4758,0.11263,0.02895,0.30883,0.83196,0.0017624,0.0017624,0.0017624
14,163.88,0.53581,0.33151,0.16742,0.37985,0.89997,0.99352,1,0.995,0.90868,0.99352,1,0.995,0.99387,0.44341,0.11948,0.01803,0.32027,0.82624,0.0017426,0.0017426,0.0017426
