epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,778.56,0.52881,0.83976,0.34229,0.85352,0.98303,1,0.99435,0.91791,0.98303,1,0.99435,0.68384,0.3992,0.72819,0.2527,0.82728,0.001406,0.001406,0.001406
32,803.748,0.53469,0.83516,0.34653,0.85277,0.98324,1,0.99484,0.90516,0.98324,1,0.99484,0.6435,0.48612,0.68963,0.27979,0.83966,0.0013862,0.0013862,0.0013862
33,828.73,0.54946,0.84696,0.35295,0.85591,0.98334,1,0.99492,0.93133,0.98334,1,0.99492,0.65148,0.40347,0.69399,0.27995,0.82813,0.0013664,0.0013664,0.0013664
34,853.765,0.52952,0.83338,0.34336,0.85465,0.983,1,0.99323,0.92383,0.983,1,0.99323,0.64936,0.41328,0.7112,0.27365,0.83442,0.0013466,0.0013466,0.0013466
35,879.315,0.5256,0.83396,0.33793,0.85498,0.9834,1,0.99118,0.91294,0.9834,1,0.99118,0.67693,0.46531,0.70149,0.28203,0.83775,0.0013268,0.0013268,0.0013268
36,904.317,0.53645,0.81265,0.3361,0.85288,0.98277,1,0.99443,0.92042,0.98277,1,0.99443,0.65138,0.44487,0.70128,0.27345,0.8362,0.001307,0.001307,0.001307
37,929.408,0.52033,0.85853,0.33319,0.85517,0.9834,1,0.99184,0.92006,0.9834,1,0.99184,0.63945,0.41059,0.6643,0.26452,0.82328,0.0012872,0.0012872,0.0012872
38,954.489,0.50047,0.82399,0.32823,0.84551,0.98318,1,0.99376,0.92968,0.98318,1,0.99376,0.65864,0.38548,0.68732,0.25444,0.81806,0.0012674,0.0012674,0.0012674
39,979.466,0.49783,0.79888,0.3268,0.84835,0.98331,1,0.99459,0.92543,0.98331,1,0.99459,0.66951,0.40578,0.6815,0.26842,0.82551,0.0012476,0.0012476,0.0012476
40,1004.48,0.50566,0.83137,0.32757,0.84175,0.9833,1,0.995,0.91898,0.9833,1,0.995,0.65039,0.4645,0.7182,0.28115,0.83008,0.0012278,0.0012278,0.0012278
41,1029.48,0.50789,0.81426,0.32728,0.8545,0.98336,1,0.99467,0.91996,0.98336,1,0.99467,0.69859,0.42271,0.67707,0.26224,0.82932,0.001208,0.001208,0.001208
42,1055.23,0.48874,0.78393,0.31584,0.85189,0.98327,1,0.99484,0.9269,0.98327,1,0.99484,0.70293,0.40228,0.69689,0.25472,0.82084,0.0011882,0.0011882,0.0011882
43,1080.44,0.48187,0.81259,0.30988,0.84432,0.98344,1,0.99319,0.93553,0.98344,1,0.99319,0.6313,0.39079,0.6968,0.24154,0.82203,0.0011684,0.0011684,0.0011684
44,1105.68,0.48668,0.80028,0.31265,0.84598,0.98336,1,0.99316,0.91647,0.98336,1,0.99316,0.64132,0.41387,0.67762,0.25975,0.82345,0.0011486,0.0011486,0.0011486
45,1130.81,0.4893,0.79027,0.31114,0.84756,0.99779,1,0.995,0.9335,0.99779,1,0.995,0.68101,0.38554,0.66966,0.24057,0.82651,0.0011288,0.0011288,0.0011288
46,1155.8,0.48826,0.78184,0.32056,0.84311,0.99715,1,0.995,0.92967,0.99715,1,0.995,0.68957,0.39032,0.67979,0.24226,0.8241,0.001109,0.001109,0.001109
47,1180.97,0.48997,0.78992,0.31835,0.84425,0.99943,1,0.995,0.94782,0.99943,1,0.995,0.64699,0.37279,0.68515,0.23317,0.81756,0.0010892,0.0010892,0.0010892
48,1206.01,0.47431,0.80869,0.30417,0.84688,0.9993,1,0.995,0.93285,0.9993,1,0.995,0.6244,0.40846,0.66935,0.24379,0.82802,0.0010694,0.0010694,0.0010694
49,1231.46,0.48004,0.7954,0.30178,0.84163,0.98298,1,0.99484,0.92178,0.98298,1,0.99484,0.64245,0.41218,0.67584,0.24806,0.82067,0.0010496,0.0010496,0.0010496
50,1256.57,0.48593,0.79488,0.30727,0.8389,0.98339,1,0.99468,0.92981,0.97533,0.9918,0.98772,0.64853,0.40934,0.66836,0.2456,0.82185,0.0010298,0.0010298,0.0010298
51,1281.5,0.46969,0.80772,0.29832,0.83515,0.99753,1,0.995,0.92524,0.99753,1,0.995,0.62593,0.41203,0.69053,0.2317,0.82354,0.00101,0.00101,0.00101
52,1306.7,0.46662,0.79916,0.29911,0.84148,0.99586,1,0.995,0.93511,0.99586,1,0.995,0.60845,0.39569,0.65554,0.2332,0.82074,0.0009902,0.0009902,0.0009902
53,1331.8,0.47614,0.78878,0.29726,0.8422,0.98357,1,0.995,0.92963,0.98357,1,0.995,0.66277,0.37412,0.66717,0.2516,0.81741,0.0009704,0.0009704,0.0009704
54,1357.14,0.47352,0.77345,0.30164,0.84253,1,0.99994,0.995,0.94241,1,0.99994,0.995,0.64578,0.39466,0.66001,0.23754,0.81616,0.0009506,0.0009506,0.0009506
55,1382.12,0.46204,0.76765,0.29361,0.8357,0.99915,1,0.995,0.93494,0.99915,1,0.995,0.66739,0.40007,0.67997,0.22719,0.82224,0.0009308,0.0009308,0.0009308
56,1407.75,0.45129,0.77723,0.28359,0.82697,0.99943,1,0.995,0.94778,0.99943,1,0.995,0.67661,0.37465,0.64653,0.22074,0.81315,0.000911,0.000911,0.000911
57,1432.95,0.46367,0.76346,0.29421,0.83525,1,0.99868,0.995,0.92606,1,0.99868,0.995,0.63923,0.36761,0.65317,0.21749,0.81601,0.0008912,0.0008912,0.0008912
58,1458.18,0.45321,0.78069,0.28974,0.83512,1,0.99909,0.995,0.94504,1,0.99909,0.995,0.64507,0.3835,0.64673,0.22558,0.81699,0.0008714,0.0008714,0.0008714
59,1483.2,0.45565,0.76222,0.29076,0.83799,0.99946,1,0.995,0.9316,0.99946,1,0.995,0.64572,0.39501,0.66559,0.21702,0.81622,0.0008516,0.0008516,0.0008516
60,1508.26,0.45445,0.7655,0.28587,0.8349,0.99952,1,0.995,0.94738,0.99952,1,0.995,0.6801,0.35713,0.63292,0.21377,0.81438,0.0008318,0.0008318,0.0008318
61,1533.46,0.45547,0.78468,0.27984,0.83462,0.99935,1,0.995,0.92861,0.99935,1,0.995,0.64695,0.40972,0.65472,0.21664,0.81954,0.000812,0.000812,0.000812
62,1558.88,0.44158,0.74762,0.27585,0.83096,0.99948,1,0.995,0.93845,0.99948,1,0.995,0.62943,0.37292,0.64151,0.21231,0.81489,0.0007922,0.0007922,0.0007922
63,1583.93,0.4451,0.76429,0.2767,0.83877,0.99946,1,0.995,0.94904,0.99946,1,0.995,0.68159,0.35708,0.64577,0.2084,0.81337,0.0007724,0.0007724,0.0007724
64,1609.36,0.45107,0.75789,0.27458,0.83532,0.99833,1,0.995,0.93532,0.99833,1,0.995,0.65069,0.38483,0.63519,0.21013,0.81511,0.0007526,0.0007526,0.0007526
65,1634.62,0.44731,0.75036,0.27183,0.83423,0.99932,1,0.995,0.95428,0.99932,1,0.995,0.67171,0.34341,0.64205,0.20443,0.81228,0.0007328,0.0007328,0.0007328
66,1659.84,0.43495,0.74882,0.26651,0.83648,0.99931,1,0.995,0.95694,0.99931,1,0.995,0.6639,0.32538,0.63584,0.2008,0.80998,0.000713,0.000713,0.000713
67,1684.75,0.43136,0.75761,0.27318,0.8343,0.99942,1,0.995,0.95045,0.99942,1,0.995,0.67024,0.35345,0.67154,0.20982,0.81058,0.0006932,0.0006932,0.0006932
