                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.60523,                0.49783,                 1.4026,                0.99699,                      1,                  0.995,                0.91794,                0.39746,                 0.4531,                 1.0188,              0.0015446,              0.0015446,              0.0015446
                     25,                 0.6164,                 0.5134,                 1.5693,                0.96476,                      1,                  0.995,                 0.9352,                0.36751,                0.58285,                 0.9652,              0.0015248,              0.0015248,              0.0015248
                     26,                0.65231,                0.52058,                 1.5226,                0.97878,                      1,                  0.995,                 0.9316,                0.37506,                0.59226,                0.96083,               0.001505,               0.001505,               0.001505
                     27,                0.63706,                0.52235,                 1.4989,                0.99025,                      1,                  0.995,                0.94918,                0.36979,                0.50524,                0.98026,              0.0014852,              0.0014852,              0.0014852
                     28,                0.63069,                0.52064,                 1.4531,                0.97809,                      1,                  0.995,                 0.9318,                0.35208,                0.43285,                0.96964,              0.0014654,              0.0014654,              0.0014654
                     29,                 0.6713,                0.58763,                 1.5368,                0.98656,                      1,                  0.995,                0.95155,                0.30485,                 0.4535,                0.91392,              0.0014456,              0.0014456,              0.0014456
                     30,                0.60485,                0.50585,                 1.5198,                0.98849,                      1,                  0.995,                 0.9448,                0.32599,                0.49548,                0.93251,              0.0014258,              0.0014258,              0.0014258
                     31,                 0.7241,                0.60856,                  1.586,                0.98825,                      1,                  0.995,                0.94686,                0.31645,                0.47923,                0.93831,               0.001406,               0.001406,               0.001406
                     32,                0.58674,                0.49065,                 1.3887,                0.97986,                      1,                  0.995,                0.93314,                0.35932,                0.38933,                0.98527,              0.0013862,              0.0013862,              0.0013862
                     33,                0.63032,                0.50802,                 1.4245,                0.98525,                      1,                  0.995,                0.93291,                 0.3694,                0.40362,                0.99146,              0.0013664,              0.0013664,              0.0013664
                     34,                0.58738,                0.47222,                 1.4477,                0.98564,                      1,                  0.995,                0.92403,                0.36319,                0.38384,                0.96581,              0.0013466,              0.0013466,              0.0013466
                     35,                0.63112,                0.50197,                 1.6167,                0.96689,                      1,                  0.995,                0.93911,                0.31024,                0.38007,                0.91496,              0.0013268,              0.0013268,              0.0013268
                     36,                 0.6459,                0.50249,                 1.4959,                0.98312,                      1,                  0.995,                0.96631,                 0.3469,                0.37259,                0.95209,               0.001307,               0.001307,               0.001307
                     37,                 0.5933,                0.47544,                 1.4711,                0.98415,                      1,                  0.995,                0.92881,                0.34241,                0.36993,                0.96974,              0.0012872,              0.0012872,              0.0012872
                     38,                0.56149,                0.43498,                 1.4604,                 0.9825,                      1,                  0.995,                 0.9299,                0.33366,                0.34629,                 0.9603,              0.0012674,              0.0012674,              0.0012674
                     39,                0.61135,                0.47416,                 1.4455,                0.96725,                      1,                  0.995,                0.95694,                0.31541,                 0.3327,                0.92775,              0.0012476,              0.0012476,              0.0012476
                     40,                0.55427,                 0.4638,                 1.4292,                      1,                0.99683,                  0.995,                0.94619,                0.34831,                0.31044,                0.93805,              0.0012278,              0.0012278,              0.0012278
                     41,                0.55709,                0.44314,                 1.4608,                0.99873,                      1,                  0.995,                0.94225,                0.34236,                0.31269,                0.95701,               0.001208,               0.001208,               0.001208
                     42,                0.53808,                0.44308,                 1.3161,                      1,                0.98837,                  0.995,                0.93969,                0.34188,                0.32262,                0.95866,              0.0011882,              0.0011882,              0.0011882
                     43,                0.55788,                0.45183,                 1.3874,                0.96648,                      1,                0.99125,                0.93804,                0.34791,                0.32514,                0.96884,              0.0011684,              0.0011684,              0.0011684
                     44,                0.56852,                0.45115,                 1.3366,                0.96234,                      1,                0.99406,                 0.9449,                0.32847,                0.34066,                0.95726,              0.0011486,              0.0011486,              0.0011486
                     45,                0.54515,                0.44618,                 1.3304,                0.96661,                      1,                  0.995,                0.94436,                0.33139,                0.35965,                0.94744,              0.0011288,              0.0011288,              0.0011288
                     46,                0.53484,                 0.4312,                 1.3564,                0.97222,                      1,                  0.995,                0.94367,                 0.3406,                0.37018,                0.95134,               0.001109,               0.001109,               0.001109
                     47,                0.57065,                0.46172,                 1.4883,                0.95944,                      1,                0.99406,                0.92288,                0.35704,                 0.3812,                0.95528,              0.0010892,              0.0010892,              0.0010892
                     48,                0.59592,                0.48625,                 1.4909,                0.97101,                      1,                  0.995,                0.94762,                0.31787,                0.34139,                0.93228,              0.0010694,              0.0010694,              0.0010694
                     49,                0.54117,                0.43345,                 1.3134,                      1,                0.99031,                  0.995,                 0.9563,                0.31311,                0.33423,                0.92665,              0.0010496,              0.0010496,              0.0010496
                     50,                0.49034,                0.42079,                 1.3416,                      1,                0.99901,                  0.995,                0.95467,                0.32484,                0.34137,                0.93048,              0.0010298,              0.0010298,              0.0010298
                     51,                0.51421,                0.41005,                 1.3906,                0.99733,                      1,                  0.995,                0.94993,                0.33499,                0.33203,                 0.9319,                0.00101,                0.00101,                0.00101
                     52,                0.58599,                0.44028,                   1.46,                0.98938,                      1,                  0.995,                0.94346,                0.30893,                0.31229,                0.91731,              0.0009902,              0.0009902,              0.0009902
                     53,                0.54673,                0.42795,                  1.392,                 0.9897,                      1,                  0.995,                0.93769,                0.33071,                0.30202,                0.94849,              0.0009704,              0.0009704,              0.0009704
                     54,                0.48954,                0.39464,                 1.3356,                 0.9918,                      1,                  0.995,                0.91661,                0.34623,                0.31086,                0.97308,              0.0009506,              0.0009506,              0.0009506
                     55,                0.51355,                0.40026,                 1.3687,                0.99411,                      1,                  0.995,                0.94011,                0.31988,                0.30439,                0.93209,              0.0009308,              0.0009308,              0.0009308
                     56,                0.54351,                 0.4056,                 1.4229,                0.99497,                      1,                  0.995,                0.95935,                 0.3031,                0.30679,                0.92938,               0.000911,               0.000911,               0.000911
                     57,                0.54911,                0.43655,                 1.4149,                0.99533,                      1,                  0.995,                0.95919,                0.29575,                0.30201,                0.92388,              0.0008912,              0.0008912,              0.0008912
                     58,                0.48856,                0.42632,                 1.3936,                 0.9946,                      1,                  0.995,                0.97454,                0.28675,                0.30052,                0.91881,              0.0008714,              0.0008714,              0.0008714
                     59,                0.52701,                 0.4272,                 1.3973,                0.99417,                      1,                  0.995,                0.97046,                 0.2878,                0.29414,                0.92347,              0.0008516,              0.0008516,              0.0008516
                     60,                0.49827,                0.40228,                 1.2818,                0.99282,                      1,                  0.995,                0.95753,                0.28909,                0.26984,                0.93104,              0.0008318,              0.0008318,              0.0008318
                     61,                0.49655,                0.39751,                 1.4014,                0.99436,                      1,                  0.995,                0.95814,                0.28974,                0.26368,                0.92751,               0.000812,               0.000812,               0.000812
                     62,                0.50736,                0.42097,                 1.4062,                0.99535,                      1,                  0.995,                0.95189,                0.28477,                0.26242,                0.91937,              0.0007922,              0.0007922,              0.0007922
                     63,                0.52987,                0.40634,                 1.5204,                0.99604,                      1,                  0.995,                0.95965,                0.28645,                0.25869,                0.91759,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.5008,                0.39604,                 1.4097,                0.99632,                      1,                  0.995,                 0.9501,                0.32335,                0.25426,                0.92789,              0.0007526,              0.0007526,              0.0007526
                     65,                0.49691,                0.38774,                 1.3666,                0.99647,                      1,                  0.995,                 0.9448,                0.33524,                0.25182,                0.93381,              0.0007328,              0.0007328,              0.0007328
                     66,                0.52784,                  0.418,                 1.4554,                0.99683,                      1,                  0.995,                0.95535,                0.32249,                0.24631,                 0.9276,               0.000713,               0.000713,               0.000713
                     67,                0.51258,                0.41014,                 1.4017,                 0.9965,                      1,                  0.995,                0.97224,                0.28623,                0.24605,                0.91132,              0.0006932,              0.0006932,              0.0006932
                     68,                 0.5185,                0.41572,                 1.4132,                0.99609,                      1,                  0.995,                 0.9615,                0.27204,                0.25572,                0.90417,              0.0006734,              0.0006734,              0.0006734
                     69,                0.49574,                0.40734,                 1.3349,                0.99643,                      1,                  0.995,                 0.9692,                0.26296,                0.24588,                0.90484,              0.0006536,              0.0006536,              0.0006536
                     70,                0.44955,                0.36365,                 1.3237,                0.99588,                      1,                  0.995,                0.96885,                0.26971,                0.24526,                0.90999,              0.0006338,              0.0006338,              0.0006338
                     71,                0.49208,                0.38649,                 1.3758,                0.99424,                      1,                  0.995,                0.96406,                0.27692,                0.24139,                0.91624,               0.000614,               0.000614,               0.000614
                     72,                0.49642,                0.39579,                 1.3949,                0.99358,                      1,                  0.995,                0.94201,                0.33773,                0.24243,                0.99518,              0.0005942,              0.0005942,              0.0005942
                     73,                0.46425,                0.38125,                 1.3386,                 0.9943,                      1,                  0.995,                0.94391,                0.35259,                0.24507,                 1.0169,              0.0005744,              0.0005744,              0.0005744
                     74,                0.43937,                0.35251,                  1.308,                0.99472,                      1,                  0.995,                0.94807,                0.33938,                0.23689,                0.97902,              0.0005546,              0.0005546,              0.0005546
                     75,                0.48334,                0.38666,                 1.3351,                0.99509,                      1,                  0.995,                0.94386,                0.32737,                0.22789,                0.94919,              0.0005348,              0.0005348,              0.0005348
                     76,                0.52082,                0.40853,                 1.5001,                0.99446,                      1,                  0.995,                0.96304,                0.30387,                 0.2301,                 0.9168,               0.000515,               0.000515,               0.000515
                     77,                 0.4278,                0.36509,                 1.2643,                0.99344,                      1,                  0.995,                0.96765,                0.29642,                0.23034,                0.91107,              0.0004952,              0.0004952,              0.0004952
                     78,                0.46922,                0.36089,                 1.3035,                0.99184,                      1,                  0.995,                0.97293,                0.28891,                 0.2272,                0.90897,              0.0004754,              0.0004754,              0.0004754
                     79,                0.45345,                0.36857,                 1.3906,                0.99047,                      1,                  0.995,                0.97095,                0.28944,                0.22283,                0.91091,              0.0004556,              0.0004556,              0.0004556
                     80,                0.44202,                 0.3383,                 1.2558,                0.98878,                      1,                  0.995,                0.97447,                0.27192,                0.21855,                0.90119,              0.0004358,              0.0004358,              0.0004358
                     81,                0.44488,                0.36132,                 1.3139,                 0.9915,                      1,                  0.995,                0.96552,                0.26494,                0.21845,                0.89705,               0.000416,               0.000416,               0.000416
                     82,                0.47094,                0.36034,                 1.3651,                0.99194,                      1,                  0.995,                0.95965,                0.27005,                0.21694,                0.89695,              0.0003962,              0.0003962,              0.0003962
                     83,                0.40022,                0.32739,                 1.2356,                0.99344,                      1,                  0.995,                0.94954,                0.27927,                0.22142,                0.89968,              0.0003764,              0.0003764,              0.0003764
                     84,                0.45896,                0.35858,                 1.3249,                0.99539,                      1,                  0.995,                0.95422,                0.28323,                0.21986,                0.90238,              0.0003566,              0.0003566,              0.0003566
                     85,                0.42693,                0.34398,                 1.3203,                0.99569,                      1,                  0.995,                0.96965,                0.27994,                0.21576,                0.90259,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.4326,                0.35653,                 1.2788,                0.99592,                      1,                  0.995,                0.96729,                 0.2747,                 0.2159,                0.90155,               0.000317,               0.000317,               0.000317
                     87,                0.43324,                0.34846,                 1.3141,                0.99596,                      1,                  0.995,                0.96187,                  0.273,                0.21449,                0.90155,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.4339,                0.34041,                 1.3083,                0.99669,                      1,                  0.995,                0.96424,                0.26292,                0.21143,                0.89697,              0.0002774,              0.0002774,              0.0002774
                     89,                0.45804,                0.38457,                 1.3723,                0.99704,                      1,                  0.995,                0.97333,                0.25559,                0.20991,                0.89131,              0.0002576,              0.0002576,              0.0002576
                     90,                0.46785,                0.37158,                 1.4774,                0.99728,                      1,                  0.995,                0.96762,                0.24827,                0.20796,                 0.8882,              0.0002378,              0.0002378,              0.0002378
                     91,                0.28706,                0.28152,                 1.0192,                0.99728,                      1,                  0.995,                0.97159,                0.24399,                 0.2084,                0.88637,               0.000218,               0.000218,               0.000218
                     92,                0.26658,                0.26935,                 1.0079,                0.99646,                      1,                  0.995,                0.96571,                0.25684,                0.22179,                0.89849,              0.0001982,              0.0001982,              0.0001982
                     93,                0.27893,                0.27717,                 1.0294,                0.99587,                      1,                  0.995,                0.97135,                0.26276,                0.22787,                0.90249,              0.0001784,              0.0001784,              0.0001784
                     94,                0.29958,                0.26381,                 1.0755,                0.99547,                      1,                  0.995,                0.97077,                0.26328,                0.23231,                0.90211,              0.0001586,              0.0001586,              0.0001586
                     95,                0.27047,                0.24645,                 1.0177,                0.99531,                      1,                  0.995,                0.96787,                0.26126,                0.23359,                0.89979,              0.0001388,              0.0001388,              0.0001388
                     96,                0.28616,                0.26297,                 1.0784,                0.99523,                      1,                  0.995,                0.96804,                0.25398,                0.23124,                0.89391,               0.000119,               0.000119,               0.000119
                     97,                 0.2645,                0.26026,                0.97941,                0.99542,                      1,                  0.995,                0.96845,                   0.25,                0.22735,                0.88999,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.26246,                0.24561,                0.98534,                0.99537,                      1,                  0.995,                0.96842,                0.24681,                0.22307,                0.88689,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.26823,                0.24284,                0.99296,                 0.9951,                      1,                  0.995,                0.96695,                0.24448,                0.21985,                0.88386,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.25315,                 0.2357,                 1.0098,                0.99508,                      1,                  0.995,                0.96699,                0.24128,                0.21585,                0.87918,               3.98e-05,               3.98e-05,               3.98e-05
