                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8738,                   2.78,                 2.8243,                0.03724,                0.16129,                0.04054,                0.01741,                0.74422,                 3.0281,                 1.5686,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.3025,                 2.2731,                 2.2455,                0.69638,                0.74194,                0.78087,                0.67314,                0.52061,                 1.8695,                 1.1795,             0.00017822,             0.00017822,             0.00017822
                      3,                0.89726,                 1.4434,                 1.7706,                0.84418,                0.96774,                0.98052,                0.89207,                0.40162,                 1.4852,                 1.0196,             0.00027446,             0.00027446,             0.00027446
                      4,                0.77143,                 1.0155,                 1.6004,                0.78999,                      1,                0.97988,                0.89952,                0.38206,                 1.7021,                 1.0221,             0.00036871,             0.00036871,             0.00036871
                      5,                0.73725,                0.82497,                 1.5383,                0.76272,                      1,                0.98614,                0.92399,                0.37047,                 1.7898,                0.97038,             0.00046099,             0.00046099,             0.00046099
                      6,                0.68272,                0.80819,                 1.4974,                 0.7734,                      1,                0.98906,                0.92386,                0.35439,                 1.4124,                0.96674,             0.00055129,             0.00055129,             0.00055129
                      7,                0.65878,                0.72781,                  1.469,                0.79663,                      1,                 0.9738,                0.89942,                0.38447,                  1.451,                 1.0007,             0.00063961,             0.00063961,             0.00063961
                      8,                 0.6517,                0.74584,                 1.4706,                0.84816,                      1,                0.98594,                0.90637,                0.35471,                0.98304,                0.96749,             0.00072595,             0.00072595,             0.00072595
                      9,                0.67738,                0.74639,                 1.5625,                0.87872,                      1,                  0.995,                0.90068,                0.45245,                0.89253,                 1.0479,              0.0008103,              0.0008103,              0.0008103
                     10,                 0.6927,                0.73317,                  1.603,                 0.8971,                      1,                  0.995,                0.92441,                0.34301,                0.83453,                0.94319,             0.00089268,             0.00089268,             0.00089268
                     11,                0.63677,                0.63057,                 1.4542,                 0.9055,                      1,                0.99318,                0.93968,                0.36558,                0.69942,                0.97983,             0.00097308,             0.00097308,             0.00097308
                     12,                0.67328,                0.64759,                 1.4761,                0.91392,                      1,                0.99318,                 0.9203,                0.38795,                 0.6547,                0.95592,              0.0010515,              0.0010515,              0.0010515
                     13,                0.67081,                0.66476,                 1.4345,                0.90815,                      1,                0.99406,                0.93495,                0.34505,                 0.6524,                0.92019,              0.0011279,              0.0011279,              0.0011279
                     14,                0.66023,                0.62251,                  1.491,                0.90496,                      1,                  0.995,                0.92639,                0.40869,                0.68482,                  1.061,              0.0012024,              0.0012024,              0.0012024
                     15,                0.64021,                 0.5906,                 1.4616,                0.92482,                      1,                  0.995,                0.92491,                0.40644,                0.62833,                 0.9918,              0.0012749,              0.0012749,              0.0012749
                     16,                0.71137,                0.61853,                  1.589,                0.95971,                      1,                  0.995,                0.92535,                 0.3826,                 0.5428,                0.97411,              0.0013454,              0.0013454,              0.0013454
                     17,                0.69508,                0.64516,                 1.5019,                0.99462,                      1,                  0.995,                0.90308,                0.47362,                0.57335,                 1.0629,              0.0014139,              0.0014139,              0.0014139
                     18,                0.72534,                0.59776,                 1.4906,                0.99566,                      1,                  0.995,                0.91523,                0.43395,                 0.5749,                 1.0257,              0.0014804,              0.0014804,              0.0014804
                     19,                0.68395,                0.56446,                 1.4676,                0.99045,                      1,                  0.995,                0.92073,                0.36594,                0.60077,                 0.9732,               0.001545,               0.001545,               0.001545
                     20,                0.57716,                0.48993,                 1.4617,                0.97252,                      1,                  0.995,                0.93951,                0.37537,                0.60353,                0.95497,              0.0016076,              0.0016076,              0.0016076
                     21,                0.60763,                0.49328,                 1.4395,                0.99795,                      1,                  0.995,                0.90863,                0.44016,                0.51536,                 1.0263,               0.001604,               0.001604,               0.001604
                     22,                0.59676,                0.49384,                 1.3779,                      1,                0.99958,                  0.995,                0.91167,                 0.4088,                0.46344,                0.96981,              0.0015842,              0.0015842,              0.0015842
                     23,                0.69809,                0.55753,                 1.4756,                0.99159,                      1,                  0.995,                0.92459,                0.37389,                0.42228,                0.95209,              0.0015644,              0.0015644,              0.0015644
